Title,Price,Rating,Colors,Size,Gender,timestamp
T-shirt 2,1634400,3.9,3,M,Women,2025-04-26 12:26:34.130447
Hoodie 3,7950080,4.8,3,L,Unisex,2025-04-26 12:26:34.130447
Pants 4,7476960,3.3,3,XL,Men,2025-04-26 12:26:34.130447
Outerwear 5,5145440,3.5,3,XXL,Women,2025-04-26 12:26:34.130447
Jacket 6,2453920,3.3,3,S,Unisex,2025-04-26 12:26:34.130447
Crewneck 7,6892000,4.3,3,M,Men,2025-04-26 12:26:34.130447
T-shirt 8,7802560,3.1,3,L,Women,2025-04-26 12:26:34.130447
Hoodie 9,3972160,3.2,3,XL,Unisex,2025-04-26 12:26:34.130447
Pants 10,3100160,4.2,3,XXL,Men,2025-04-26 12:26:34.130447
Jacket 12,8527840,3.9,3,M,Unisex,2025-04-26 12:26:34.130447
Crewneck 13,5447200,3.2,3,L,Men,2025-04-26 12:26:34.130447
T-shirt 14,3248800,3.8,3,XL,Women,2025-04-26 12:26:34.130447
Hoodie 15,2184160,3.6,3,XXL,Unisex,2025-04-26 12:26:34.130447
Outerwear 17,841600,3.8,3,M,Women,2025-04-26 12:26:34.140822
Jacket 18,5500000,3.8,3,L,Unisex,2025-04-26 12:26:34.140822
Crewneck 19,1308960,3.6,3,XL,Men,2025-04-26 12:26:34.142009
T-shirt 20,1325600,3.4,3,XXL,Women,2025-04-26 12:26:34.142009
Pants 22,4319680,4.9,3,M,Men,2025-04-26 12:26:34.395662
Outerwear 23,4655840,3.7,3,L,Women,2025-04-26 12:26:34.395662
Jacket 24,8223520,3.9,3,XL,Unisex,2025-04-26 12:26:34.395662
Crewneck 25,8322559,3.3,3,XXL,Men,2025-04-26 12:26:34.397667
T-shirt 26,7292320,4.6,3,S,Women,2025-04-26 12:26:34.397667
Hoodie 27,3551840,4.8,3,M,Unisex,2025-04-26 12:26:34.397667
Pants 28,5216160,4.0,3,L,Men,2025-04-26 12:26:34.397667
Outerwear 29,861600,3.1,3,XL,Women,2025-04-26 12:26:34.397667
Jacket 30,8610240,3.7,3,XXL,Unisex,2025-04-26 12:26:34.399670
T-shirt 32,6657920,3.4,3,M,Women,2025-04-26 12:26:34.400674
Hoodie 33,7248160,3.5,3,L,Unisex,2025-04-26 12:26:34.400674
Pants 34,8362719,3.8,3,XL,Men,2025-04-26 12:26:34.400674
Outerwear 35,1356160,3.8,3,XXL,Women,2025-04-26 12:26:34.400674
Jacket 36,7249280,3.7,3,S,Unisex,2025-04-26 12:26:34.402800
Crewneck 37,6006080,4.0,3,M,Men,2025-04-26 12:26:34.402800
T-shirt 38,4866080,3.2,3,L,Women,2025-04-26 12:26:34.402800
Hoodie 39,6431200,4.6,3,XL,Unisex,2025-04-26 12:26:34.402800
Pants 40,5853600,3.1,3,XXL,Men,2025-04-26 12:26:34.402800
Jacket 42,6744160,3.7,3,M,Unisex,2025-04-26 12:26:34.649558
Crewneck 43,2909600,4.5,3,L,Men,2025-04-26 12:26:34.649558
T-shirt 44,3312320,3.0,3,XL,Women,2025-04-26 12:26:34.650562
Hoodie 45,8693120,4.5,3,XXL,Unisex,2025-04-26 12:26:34.650562
Outerwear 47,6364640,3.2,3,M,Women,2025-04-26 12:26:34.650562
Jacket 48,4994720,3.4,3,L,Unisex,2025-04-26 12:26:34.650562
Crewneck 49,1071200,4.0,3,XL,Men,2025-04-26 12:26:34.650562
T-shirt 50,5932960,3.1,3,XXL,Women,2025-04-26 12:26:34.650562
